date,transaction_id,customer_id,product_type,state,is_new_customer,transaction_status,is_injected,anomaly_label
2024-10-01 00:07:00,T000846,C0194,auto_loan,TX,False,denied,False,
2024-10-01 09:30:00,T000901,C0175,mortgage,TX,False,denied,False,
2024-10-01 09:56:00,T000381,C0274,mortgage,WA,False,approved,False,
2024-10-01 10:22:00,T000303,C0252,personal_loan,NY,True,approved,False,
2024-10-01 11:58:00,T000465,C0154,mortgage,NY,False,approved,False,
2024-10-01 12:34:00,T000707,C0220,personal_loan,GA,False,denied,False,
2024-10-01 13:44:00,T000845,C0271,credit_card,CO,False,approved,False,
2024-10-01 14:23:00,T000575,C0020,credit_card,NY,True,denied,False,
2024-10-01 16:07:00,T000104,C0242,credit_card,FL,False,approved,False,
2024-10-01 17:51:00,T000773,C0218,auto_loan,WA,False,approved,False,
2024-10-02 06:42:00,T000300,C0124,personal_loan,NY,False,denied,False,
2024-10-02 10:09:00,T000233,C0245,mortgage,AZ,False,approved,False,
2024-10-02 10:32:00,T000540,C0160,personal_loan,OH,False,approved,False,
2024-10-02 10:33:00,T000410,C0110,mortgage,IL,False,approved,False,
2024-10-02 10:58:00,T000478,C0283,auto_loan,AZ,True,approved,False,
2024-10-02 12:08:00,T000801,C0185,mortgage,IL,True,denied,False,
2024-10-02 12:19:00,T000889,C0123,personal_loan,IL,True,approved,False,
2024-10-02 13:29:00,T000839,C0036,mortgage,TX,False,approved,False,
2024-10-02 15:20:00,T000369,C0166,credit_card,FL,False,approved,False,
2024-10-02 16:14:00,T000790,C0151,mortgage,TX,False,approved,False,
2024-10-02 19:25:00,T000415,C0229,auto_loan,TX,False,approved,False,
2024-10-03 08:17:00,T000787,C0117,auto_loan,FL,False,approved,False,
2024-10-03 09:57:00,T000830,C0088,personal_loan,CO,False,approved,False,
2024-10-03 10:00:00,T000429,C0193,mortgage,CA,False,approved,False,
2024-10-03 11:06:00,T000272,C0156,auto_loan,NY,True,approved,False,
2024-10-03 12:44:00,T000821,C0025,personal_loan,OH,False,approved,False,
2024-10-03 14:01:00,T000170,C0280,personal_loan,GA,False,approved,False,
2024-10-03 15:45:00,T000138,C0086,credit_card,CA,False,denied,False,
2024-10-03 16:33:00,T000454,C0087,personal_loan,CA,False,denied,False,
2024-10-03 17:50:00,T000385,C0120,auto_loan,OH,False,approved,False,
2024-10-04 08:47:00,T000250,C0228,personal_loan,TX,False,denied,False,
2024-10-04 10:30:00,T000147,C0119,credit_card,TX,False,approved,False,
2024-10-04 11:09:00,T000902,C0013,auto_loan,AZ,True,approved,False,
2024-10-04 11:37:00,T000562,C0072,personal_loan,GA,False,approved,False,
2024-10-04 11:45:00,T000328,C0037,mortgage,NY,False,approved,False,
2024-10-04 13:11:00,T000056,C0103,auto_loan,CA,False,approved,False,
2024-10-04 13:38:00,T000870,C0252,credit_card,WA,False,approved,False,
2024-10-04 17:26:00,T000811,C0253,personal_loan,AZ,True,approved,False,
2024-10-04 18:13:00,T000817,C0108,auto_loan,TX,False,approved,False,
2024-10-04 18:46:00,T000117,C0192,mortgage,TX,False,approved,False,
2024-10-04 18:59:00,T000844,C0207,auto_loan,CA,False,approved,False,
2024-10-04 23:15:00,T000663,C0197,auto_loan,GA,True,approved,False,
2024-10-05 08:17:00,T000584,C0112,auto_loan,AZ,True,approved,False,
2024-10-05 08:54:00,T000397,C0073,credit_card,GA,False,approved,False,
2024-10-05 10:46:00,T000352,C0061,mortgage,NY,False,denied,False,
2024-10-05 12:14:00,T000898,C0167,personal_loan,IL,False,approved,False,
2024-10-05 12:36:00,T000542,C0241,credit_card,OH,False,approved,False,
2024-10-05 14:24:00,T000848,C0249,auto_loan,OH,False,approved,False,
2024-10-05 14:51:00,T000574,C0048,auto_loan,WA,False,approved,False,
2024-10-05 16:12:00,T000699,C0097,personal_loan,IL,False,approved,False,
2024-10-05 17:37:00,T000887,C0285,personal_loan,CO,False,approved,False,
2024-10-05 19:09:00,T000546,C0235,mortgage,CA,True,denied,False,
2024-10-06 10:14:00,T000279,C0198,credit_card,AZ,True,approved,False,
2024-10-06 11:16:00,T000150,C0034,personal_loan,FL,False,denied,False,
2024-10-06 12:26:00,T000036,C0219,credit_card,NY,False,approved,False,
2024-10-06 15:22:00,T000619,C0074,auto_loan,CA,False,denied,False,
2024-10-06 17:58:00,T000858,C0185,credit_card,CA,True,approved,False,
2024-10-06 18:47:00,T000518,C0076,personal_loan,CA,False,approved,False,
2024-10-07 07:21:00,T000045,C0051,auto_loan,TX,False,approved,False,
2024-10-07 09:40:00,T000387,C0062,mortgage,CO,False,denied,False,
2024-10-07 09:54:00,T000899,C0240,personal_loan,AZ,True,approved,False,
2024-10-07 12:03:00,T000659,C0282,auto_loan,AZ,True,approved,False,
2024-10-07 12:13:00,T000069,C0023,auto_loan,TX,False,approved,False,
2024-10-08 00:20:00,T000753,C0268,credit_card,TX,False,approved,False,
2024-10-08 00:40:00,T000127,C0105,auto_loan,TX,False,approved,False,
2024-10-08 08:46:00,T000196,C0002,credit_card,OH,False,approved,False,
2024-10-08 09:03:00,T000728,C0266,auto_loan,FL,False,approved,False,
2024-10-08 09:34:00,T000431,C0097,mortgage,OH,False,denied,False,
2024-10-08 10:17:00,T000007,C0211,credit_card,TX,False,approved,False,
2024-10-08 10:47:00,T000678,C0218,credit_card,TX,True,approved,False,
2024-10-08 11:09:00,T000881,C0008,mortgage,TX,False,denied,False,
2024-10-08 11:20:00,T000280,C0129,credit_card,CA,False,approved,False,
2024-10-08 12:31:00,T000439,C0204,auto_loan,WA,False,approved,False,
2024-10-08 13:07:00,T000217,C0066,personal_loan,FL,False,denied,False,
2024-10-08 18:50:00,T000246,C0144,credit_card,OH,True,approved,False,
2024-10-09 07:34:00,T000087,C0018,credit_card,WA,False,approved,False,
2024-10-09 09:56:00,T000001,C0204,auto_loan,FL,False,denied,False,
2024-10-09 10:27:00,T000826,C0125,mortgage,TX,False,approved,False,
2024-10-09 11:13:00,T000376,C0082,credit_card,TX,False,approved,False,
2024-10-09 11:23:00,T000218,C0176,auto_loan,FL,False,approved,False,
